Running verification cascade...
  Specs directory: /Users/seshendranalla/Development/katagami-worktrees/grok-jcs-study-setup/katagami-commons/specs

--- /Users/seshendranalla/Development/katagami-worktrees/grok-jcs-study-setup/katagami-commons/specs

  [lint:warn] Taxonomy: action_missing_to — action 'Define' has no `to` target; transition may be dead/no-op
  [lint:warn] WritingStyle: action_missing_to — action 'SetModelProvenance' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SetCrossModal' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SetFeatured' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'AddCuratorNotes' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SetSources' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SetLineage' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'UpdateQuality' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'MarkQualityPassed' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'IncrementUsage' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'IncrementFork' has no `to` target; transition may be dead/no-op

  [lint:warn] Remix: action_missing_to — action 'SetSelection' has no `to` target; transition may be dead/no-op

  [lint:warn] Remix: action_missing_to — action 'SetCreator' has no `to` target; transition may be dead/no-op

  [lint:warn] Remix: action_missing_to — action 'SetSlotAssignments' has no `to` target; transition may be dead/no-op

  [lint:warn] Remix: action_missing_to — action 'AttachBrief' has no `to` target; transition may be dead/no-op

  [lint:warn] Remix: action_missing_to — action 'Rate' has no `to` target; transition may be dead/no-op

  [lint:warn] Remix: action_missing_to — action 'IncrementUsage' has no `to` target; transition may be dead/no-op

  [lint:warn] AgentGrant: action_missing_to — action 'RotateRefreshToken' has no `to` target; transition may be dead/no-op

  [lint:warn] AgentGrant: action_missing_to — action 'RecordUse' has no `to` target; transition may be dead/no-op

  [lint:warn] Member: action_missing_to — action 'SetRole' has no `to` target; transition may be dead/no-op

  [lint:warn] Member: action_missing_to — action 'SetFeatureTags' has no `to` target; transition may be dead/no-op

  [lint:warn] ElementManifest: action_missing_to — action 'SetElements' has no `to` target; transition may be dead/no-op

  [lint:warn] ElementManifest: action_missing_to — action 'SetCompositions' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetName' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SubmitArtStyle' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetMedium' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetPromptTemplate' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetSlotRecipes' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetGuidance' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'AttachReferenceImages' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'AttachProofShots' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'AttachThumbnail' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'AttachVerifiedThumbnail' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'AttachPublishedAssets' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'AttachTasteVector' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'AttachComputedFacets' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetTaxonomy' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetTags' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetCredits' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetModelProvenance' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetReviewEvidence' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'AttachArtStyleReview' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetFeatured' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'AddCuratorNotes' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetSources' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetLineage' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'UpdateQuality' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'MarkQualityPassed' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'IncrementUsage' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'IncrementFork' has no `to` target; transition may be dead/no-op

  [lint:warn] ArtStyle: action_missing_to — action 'SetCreator' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetName' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetSpec' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SubmitDesignLanguage' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'WritePhilosophy' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetTokens' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetRules' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetLayout' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetGuidance' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetImageryDirection' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetGenerativeCanvas' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachEmbodiment' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachDesignMd' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachShadcnExport' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachShadcnComponentSpec' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachShadcnPreviewShots' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachThumbnail' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachVerifiedThumbnail' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachPublishedAssets' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachLandingThumbnail' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachTasteVector' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachComputedFacets' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetTaxonomy' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetTags' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetCredits' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetModelProvenance' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetDefaultArtStyle' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetProvenanceTier' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetFeatured' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AddCuratorNotes' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetSources' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'AttachCompositions' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetLineage' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'UpdateQuality' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'MarkQualityPassed' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'IncrementUsage' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'IncrementFork' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignLanguage: action_missing_to — action 'SetCreator' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignSource: action_missing_to — action 'Submit' has no `to` target; transition may be dead/no-op

  [lint:warn] Direction: action_missing_to — action 'SetDirection' has no `to` target; transition may be dead/no-op

  [lint:warn] DesignElement: action_missing_to — action 'Configure' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetName' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SubmitPaletteSystem' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetCore' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetRamps' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetProofScenes' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetUsageGuidance' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'AttachTokensExport' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'AttachThumbnail' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'AttachVerifiedThumbnail' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'AttachPublishedAssets' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'AttachTasteVector' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'AttachComputedFacets' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetTaxonomy' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetTags' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetCredits' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetModelProvenance' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetFeatured' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'AddCuratorNotes' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetSources' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetLineage' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'UpdateQuality' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'MarkQualityPassed' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'IncrementUsage' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'IncrementFork' has no `to` target; transition may be dead/no-op

  [lint:warn] PaletteSystem: action_missing_to — action 'SetCreator' has no `to` target; transition may be dead/no-op

Running IOA verification cascade...

  Verifying Taxonomy...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 6 guards satisfiable, 3 invariants inductive, 0 unreachable
    [PASS] L1 Model Check PASSED: 8 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 95 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying OauthClient...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 3 guards satisfiable, 2 invariants inductive, 0 unreachable
    [PASS] L1 Model Check PASSED: 3 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 51 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying WritingStyle...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 33 guards satisfiable, 14 invariants inductive, 1 unreachable; approximate model: 2 transition(s) use abstract cross-entity guards; single-entity SMT excludes them from local induction and reachability
    [PASS] L1 Model Check PASSED: 21001 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 301 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying Remix...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 9 guards satisfiable, 3 invariants inductive, 0 unreachable
    [PASS] L1 Model Check PASSED: 16 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 301 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying AgentGrant...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 4 guards satisfiable, 2 invariants inductive, 0 unreachable
    [PASS] L1 Model Check PASSED: 8 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 41 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying Member...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 5 guards satisfiable, 2 invariants inductive, 0 unreachable
    [PASS] L1 Model Check PASSED: 3 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 301 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying ElementManifest...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 4 guards satisfiable, 2 invariants inductive, 0 unreachable
    [PASS] L1 Model Check PASSED: 3 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 61 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying ArtStyle...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 34 guards satisfiable, 10 invariants inductive, 1 unreachable; approximate model: 2 transition(s) use abstract cross-entity guards; single-entity SMT excludes them from local induction and reachability
    [PASS] L1 Model Check PASSED: 19044 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 301 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying DesignLanguage...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 43 guards satisfiable, 8 invariants inductive, 1 unreachable; approximate model: 2 transition(s) use abstract cross-entity guards; single-entity SMT excludes them from local induction and reachability
    [PASS] L1 Model Check PASSED: 835728 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 301 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying DesignSource...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 3 guards satisfiable, 3 invariants inductive, 0 unreachable
    [PASS] L1 Model Check PASSED: 3 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 21 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying Direction...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 3 guards satisfiable, 1 invariants inductive, 0 unreachable
    [PASS] L1 Model Check PASSED: 2 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 301 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying DesignElement...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 5 guards satisfiable, 3 invariants inductive, 0 unreachable
    [PASS] L1 Model Check PASSED: 4 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 75 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

  Verifying PaletteSystem...
proptest: FileFailurePersistence::SourceParallel set, but no source file known
    [PASS] L0 Symbolic PASSED: 31 guards satisfiable, 8 invariants inductive, 1 unreachable; approximate model: 2 transition(s) use abstract cross-entity guards; single-entity SMT excludes them from local induction and reachability
    [PASS] L1 Model Check PASSED: 2340 states explored, all properties hold
    [PASS] L2 Simulation PASSED: 5 seeds, 301 transitions, 0 dropped msgs
    [PASS] L3 Property Tests PASSED: 100 cases, 30 max steps

IOA verification cascade: ALL PASSED

Verification Report
==================================================

Specification Summary:
  Entity types:    13
  Actions:         0
  Functions:       0
  State machines:  0

==================================================
Result: PASS -- all cross-validation checks passed.

Note: Full model checking (Stateright) is not yet integrated.
      Run TLC separately for exhaustive state space exploration.

Running composite cross-entity verification (ADR-0150, budget 250000)...
    [PASS] seed=AgentGrant scope=[AgentGrant] — 10 joint states, no dropped reactions
    [PASS] seed=ArtStyle scope=[ArtStyle] — 17173 joint states, no dropped reactions
    [PASS] seed=DesignElement scope=[DesignElement] — 4 joint states, no dropped reactions
    [INCOMPLETE] seed=DesignLanguage scope=[DesignLanguage] — explored 29879 joint states; BFS budget exhausted, proof is PARTIAL (not a pass)
    [PASS] seed=DesignSource scope=[DesignSource] — 3 joint states, no dropped reactions
    [PASS] seed=Direction scope=[Direction] — 2 joint states, no dropped reactions
    [PASS] seed=ElementManifest scope=[ElementManifest] — 3 joint states, no dropped reactions
    [PASS] seed=Member scope=[Member] — 3 joint states, no dropped reactions
    [PASS] seed=OAuthClient scope=[OAuthClient] — 3 joint states, no dropped reactions
    [PASS] seed=PaletteSystem scope=[PaletteSystem] — 3040 joint states, no dropped reactions
    [PASS] seed=Remix scope=[Remix] — 20 joint states, no dropped reactions
    [PASS] seed=Taxonomy scope=[Taxonomy] — 10 joint states, no dropped reactions
    [PASS] seed=WritingStyle scope=[WritingStyle] — 18690 joint states, no dropped reactions
Error: composite cross-entity verification INCOMPLETE (budget 250000 exhausted). The joint proof did not finish — raise --composite-budget or narrow the spec. This is not a pass.
